name,salary_from,salary_to,salary_currency,area_name,published_at
Junior разработчик (поисковая выдача),,65000,RUR,Киров (Кировская область),2022-11-22T10:50:44+0300
Токарь (оборонка),115000,,RUR,Казань,2022-11-22T09:37:18+0300
Специалист технической поддержки (удаленно),37500,46000,RUR,Пермь,2022-11-22T08:46:53+0300
Токарь,60000,100000,RUR,Ижевск,2022-11-22T09:17:01+0300
Оператор станков с ЧПУ,40000,57000,RUR,Краснодар,2022-11-22T09:28:12+0300
Главный механик,,75000,RUR,Барнаул,2022-11-22T08:36:04+0300
Backend Go разработчик,,,,Алматы,2022-11-22T07:52:02+0300
Оператор ЧПУ,65000,,RUR,Заинск,2022-11-22T10:07:13+0300
Руководитель проекта,,,,Усть-Илимск,2022-11-22T06:37:01+0300
Сервисный инженер,,48000,RUR,Волгоград,2022-11-22T10:40:58+0300
Junior разработчик (поисковая выдача),,65000,RUR,Владимир,2022-11-22T10:50:38+0300
Исследователь поисковой выдачи с опытом разработки,,65000,RUR,Брянск,2022-11-22T10:50:59+0300
Специалист отдела гарантии,47000,,RUR,Санкт-Петербург,2022-11-22T10:25:38+0300
Токарь,40000,45000,RUR,Иркутск,2022-11-22T10:11:53+0300
Токарь,40000,60000,RUR,Тула,2022-11-22T08:15:24+0300
Старший аналитик отдела внедрения программного обеспечения,97000,,RUR,Красноярск,2022-11-22T08:57:52+0300
Программист,100000,,RUR,Челябинск,2022-11-22T08:29:19+0300
Токарь,100000,100000,RUR,Ульяновск,2022-11-22T09:14:11+0300
Middle/Senior разработчик С#,,,,Москва,2022-11-22T09:56:02+0300
Электрогазосварщик,,,,Удачный,2022-11-22T11:57:32+0300
Проектный менеджер,250000,300000,KZT,Туркестан,2022-11-22T06:41:46+0300
"Токарь, г. Липецк",105000,,RUR,Ливны,2022-11-22T08:53:37+0300
Руководитель проектов,150000,,RUR,Воронеж,2022-11-22T11:54:17+0300
Специалист технической поддержки,45000,100000,RUR,Уфа,2022-11-22T07:08:08+0300
Токарь,100000,100000,RUR,Пенза,2022-11-22T09:14:11+0300
Старший инженер по планированию ремонтов грузовых автомобилей и ДСТ,190000,,RUR,Краснодар,2022-11-22T11:28:11+0300
Junior разработчик (поисковая выдача),,65000,RUR,Кемерово,2022-11-22T10:50:43+0300
Руководитель проекта «ERP ТОиР»,250000,,RUR,Москва,2022-11-22T10:13:22+0300
Инженер по ИТ-поддержке,,,,Челябинск,2022-11-22T11:31:28+0300
Релиз-менеджер,,,,Москва,2022-11-22T10:39:43+0300
Токарь в Арзамас,113000,,RUR,Арзамас,2022-11-22T09:47:50+0300
Токарь,100000,100000,RUR,Нижний Новгород,2022-11-22T09:14:11+0300
Токарь-револьверщик,160000,,RUR,Челябинск,2022-11-22T10:23:24+0300
Application Security Specialist,,,,Санкт-Петербург,2022-11-22T11:26:00+0300
Системный аналитик,,120000,RUR,Калининград,2022-11-22T11:29:54+0300
Механик по эксплуатации,130000,,RUR,Красноярск,2022-11-22T09:19:35+0300
Консультант-аналитик 1С,,,,Москва,2022-11-22T11:41:56+0300
Руководитель сервиса по ремонту автотранспорта,,112000,RUR,Братск,2022-11-22T09:18:49+0300
"Фрезеровщик, Оборонная промышленность",110000,,RUR,Чебоксары,2022-11-22T09:37:18+0300
Токарь,100000,,RUR,Воронеж,2022-11-22T09:43:16+0300
Токарь-револьверщик,155000,,RUR,Нижний Новгород,2022-11-22T10:54:23+0300
Специалист по расследованию компьютерных инцидентов,,,,Москва,2022-11-22T11:27:12+0300
Графический дизайнер для социальных сетей в SMM-агентство,500,800,BYR,Гродно,2022-11-22T09:53:36+0300
Digital Analyst (fmcg),150000,185000,RUR,Москва,2022-11-22T10:41:48+0300
Координатор отдела продаж (Beauty Care Retail),,,,Москва,2022-11-22T09:26:00+0300
Администратор сетей,,,,Гомель,2022-11-22T10:39:22+0300
Инженер-разработчик,50000,,RUR,Челябинск,2022-11-22T06:28:17+0300
"Токарь, г. Липецк",105000,,RUR,Мичуринск,2022-11-22T08:53:37+0300
Фрезеровщик,50000,50000,RUR,Рязань,2022-11-22T11:48:44+0300
QA Automation engineer,,,,Алматы,2022-11-22T08:37:39+0300
